Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80684I99900KS,Intel,Core i9-9900KS,1,106,815,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX80684I99900KF,Intel,Core i9-9900KF,2,99.9,3836,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,3,99.8,122423,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80684I79700K,Intel,Core i7-9700K,4,98.7,107266,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80684I79700KF,Intel,Core i7-9700KF,5,98.2,1146,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX8069510900X,Intel,Core i9-10900X,6,98.2,2,https://cpu.userbenchmark.com/SpeedTest/969950/IntelR-CoreTM-i9-10900X-CPU---370GHz
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,7,96.8,15,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,BX80684I78086K,Intel,Core i7-8086K,8,96,20169,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX80684I99900,Intel,Core i9-9900,9,95.9,675,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,10,95.4,5,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,11,95.2,21989,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,12,95,12037,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,100-0000051BOX,AMD,Ryzen 9 3950X,13,94.4,201,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,BX80684I79700,Intel,Core i7-9700,14,94.2,5359,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I59600KF,Intel,Core i5-9600KF,15,94.1,1986,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,16,94,1393,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX8069510980XE,Intel,Core i9-10980XE,17,94,3,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,18,93.3,77490,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,100-100000071BOX,AMD,Ryzen 7 3700X,19,92.9,73074,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043
CPU,BX80684I78700K,Intel,Core i7-8700K,20,92.5,380080,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,BX80684I59600,Intel,Core i5-9600,21,91.7,117,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,22,91.4,23625,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041
CPU,BX80684I39350KF,Intel,Core i3-9350KF,23,91.3,107,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,BX80673I99920X,Intel,Core i9-9920X,24,90.9,418,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,100-1000000158,AMD,Ryzen 5 3500X,25,89.8,84,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500X/Rating/4052
CPU,BX80673I99940X,Intel,Core i9-9940X,26,89.8,451,https://cpu.userbenchmark.com/SpeedTest/641326/IntelR-CoreTM-i9-9940X-CPU---330GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,27,89.5,142192,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX80673I79800X,Intel,Core i7-9800X,28,89.3,1001,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,BX80673I99900X,Intel,Core i9-9900X,29,88.9,1176,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz
CPU,BX80673I99960X,Intel,Core i9-9960X,30,88.8,216,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz
CPU,BX80684I59500,Intel,Core i5-9500,31,88.5,439,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,100-100000031BOX,AMD,Ryzen 5 3600,32,88.3,91545,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040
CPU,BX80684I78700,Intel,Core i7-8700,33,88.2,146401,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,100-1000000050,AMD,Ryzen 5 3500,34,88,142,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053
CPU,BX80673I97900X,Intel,Core i9-7900X,35,87.8,10108,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,BX80673I77820X,Intel,Core i7-7820X,36,87.6,14215,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80673I97940X,Intel,Core i9-7940X,37,87.2,2312,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,BX80673I99980X,Intel,Core i9-9980XE,38,87.1,706,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz
CPU,,Intel,Core i9-9980HK,39,86.8,1025,https://cpu.userbenchmark.com/SpeedTest/797907/IntelR-CoreTM-i9-9980HK-CPU---240GHz
CPU,BX80677I77740X,Intel,Core i7-7740X,40,86.6,3133,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80677I77700K,Intel,Core i7-7700K,41,86.4,359342,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,BX80673I99820X,Intel,Core i9-9820X,42,86.2,591,https://cpu.userbenchmark.com/SpeedTest/651318/IntelR-CoreTM-i9-9820X-CPU---330GHz
CPU,BX80673I97920X,Intel,Core i9-7920X,43,86.1,2547,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
